"herd_elev","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"1","Frog_>1300m",7641.9560546875,5087.291015625,2610.26977539062,1725.85522460938,0,0,0,0,350640.142185529,2.1794298870219,1.45085813162066,0.744429818879521,0.492201267616473,0,0,0,0
"2","Gataga_>1300m",13643.44140625,11132.5869140625,8632.07421875,8632.07421875,8604.076171875,8604.076171875,8604.076171875,8604.076171875,312335.998774712,4.36819369517857,3.56429837026005,2.76371415802644,2.76371415802644,2.75475007864243,2.75475007864243,2.75475007864243,2.75475007864243
"3","Hart_Ranges_>1300m",0,0,0,0,0,0,0,0,13.8086837595607,0,0,0,0,0,0,0,0
"4","Graham_>1300m",18765.7619628906,20481.3823242188,22353.8725585938,23749.1730957031,20909.7216796875,23586.0185546875,24183.82421875,25030.640625,229486.473041461,8.17728457550534,8.92487563766706,9.74082361471262,10.3488335416669,9.11152688111154,10.2777380479529,10.5382351727462,10.9072401058156
"5","Moberly_>1300m",6170.69403076172,5983.58410644531,5799.22485351562,5965.64135742188,5701.24853515625,6239.32373046875,6925.93823242188,7237.18017578125,127034.987535841,4.85747599968926,4.7101859279178,4.56506114260803,4.69606167020622,4.48793568271712,4.91150025004601,5.45199268860307,5.6969975879593
"6","Chase_>1300m",58856.88671875,58461.296875,58629.8203125,58201.47265625,35784.54296875,38586.875,39702.6484375,40652.7578125,545419.183611285,10.7911288211485,10.7185993143697,10.749497281028,10.6709617859224,6.56092488933307,7.07471907102932,7.27929079696539,7.45348880898052
"7","Muskwa_>1300m",0,0,0,0,0,0,0,0,80944.5315305483,0,0,0,0,0,0,0,0
"8","Wolverine_>1300m",23609.76953125,23769.2578125,25530.810546875,28801.30078125,32445.150390625,36227.5234375,37456.765625,38304.58203125,221417.371875139,10.663015883218,10.7350464921533,11.5306266760642,13.0076969739717,14.6533897118612,16.3616445858319,16.9168142986191,17.2997184940171
"9","Kennedy_Siding_>1300m",1128.2587852478,1122.59434127808,1153.73888587952,1216.56093597412,1122.21064758301,1250.60375213623,1373.48426818848,1574.79655456543,33781.9728814289,3.33982502800493,3.32305737506291,3.41525016886673,3.60121340528014,3.32192158084386,3.70198554277962,4.06573136805614,4.66164767846092
"10","Finlay_>1300m",8671.166015625,5508.74365234375,2354.90869140625,2504.18383789062,3217.50366210938,3284.10888671875,3617.1650390625,4058.685546875,470287.458544394,1.84380124497972,1.17135669945231,0.500738144005589,0.532479400076164,0.684156807427526,0.69831946973103,0.76913916655531,0.863022279913057
"11","Scott_>1300m",6461.97705078125,6755.4609375,7818.2509765625,9328.0185546875,11923.1474609375,12159.2744140625,12423.8994140625,12543.921875,22962.653494542,28.1412470571714,29.4193392723786,34.0476808502155,40.6225637507647,51.9240838772032,52.9523925314322,54.1048072559017,54.6274927589775
"12","Rabbit_>1300m",1674.818359375,1523.22204589844,1523.22204589844,998.487426757812,0,0,0,0,88933.4338500569,1.88322691126351,1.71276648157611,1.71276648157611,1.12273571763942,0,0,0,0
"13","Spatsizi_>1300m",5508.568359375,5508.568359375,5508.568359375,5508.568359375,5508.568359375,5508.568359375,5508.568359375,5508.568359375,155483.362344659,3.54286675841508,3.54286675841508,3.54286675841508,3.54286675841508,3.54286675841508,3.54286675841508,3.54286675841508,3.54286675841508
"14","Thutade_>1300m",15856.845703125,15491.7392578125,15059.2080078125,14151.07421875,12279.2392578125,12618.3583984375,12756.03515625,12951.17578125,420863.829200174,3.76769030811223,3.68093862740678,3.57816637187177,3.36238784065697,2.91762760443168,2.99820453147943,3.03091743010846,3.0772841196315
"15","Pink_Mountain_>1300m",0,0,0,0,0,0,0,0,6980.92351284559,0,0,0,0,0,0,0,0
"16","Frog_<=1300m",14820.8056640625,9010.6826171875,7364.6982421875,4083.11279296875,1297.96801757812,1297.96801757812,1297.96801757812,1297.96801757812,152362.916028097,9.72730507555356,5.91396046497683,4.83365535011773,2.67985996816692,0.851892344551064,0.851892344551064,0.851892344551064,0.851892344551064
"17","Gataga_<=1300m",24554.83984375,17317.189453125,15557.181640625,11600.7763671875,11084.3837890625,11084.3837890625,11084.3837890625,11084.3837890625,188390.112098587,13.0340385544758,9.19219658623203,8.25796081722364,6.15784779676582,5.88373968547877,5.88373968547877,5.88373968547877,5.88373968547877
"18","Graham_<=1300m",66732.2165527344,77588.5268554688,86958.2553710938,95568.0170898438,111299.159667969,117872.646484375,119938.141113281,121469.244140625,183432.10392027,36.3797912832859,42.2982265357393,47.4062356112377,52.0999405487836,60.6759434631712,64.2595510628875,65.3855778514174,66.2202752651315
"19","Moberly_<=1300m",102528.039855957,103335.175109863,105387.992713928,107797.217453003,112406.371368408,118073.239685059,123056.164642334,126836.558105469,194385.665787182,52.7446504045246,53.1598740531603,54.2159280557802,55.4553325814783,57.8264713672217,60.7417420450784,63.3051640634133,65.2499543069869
"20","Chase_<=1300m",257714.46875,257464.328125,263150.5625,274737.1875,248759.109375,263910.75,270669.84375,275560.03125,389882.868882883,66.1004853812684,66.0363274905366,67.4947743290172,70.4665963619264,63.8035495347,67.6897527598926,69.42337439076,70.6776453244924
"21","Muskwa_<=1300m",0,0,0,0,0,0,0,0,5350.10341848141,0,0,0,0,0,0,0,0
"22","Wolverine_<=1300m",233225.4375,237069.21875,245441.9375,259127.546875,263981.84375,272998.53125,276387.84375,278908.3125,375361.578155319,62.1335403176226,63.1575612813265,65.3881355428551,69.0341158912585,70.3273481125359,72.7294819548731,73.6324279933719,74.3039055490628
"23","Kennedy_Siding_<=1300m",45070.7150845528,45399.7702198029,46035.7422084808,47616.8248615265,51897.9571228027,53384.4178161621,55175.5792388916,55903.8714675903,73924.2459026336,60.9687857268316,61.4139105045445,62.274212805789,64.4130004711081,70.2042428557987,72.2150319754026,74.638000787406,75.6231880149605
"24","Finlay_<=1300m",120610.4453125,107946.6171875,104996.4765625,107783.734375,111950.09375,114926.4296875,117754.875,119881.53125,333221.352417362,36.195293139989,32.3948679772166,31.5095283662948,32.3459867121601,33.5963145632342,34.4895154088307,35.3383341570834,35.9765454345337
"25","Scott_<=1300m",137256.125,142033.96875,150769.421875,159543.046875,165577.046875,165991.890625,166371.421875,166566.390625,170474.64087399,80.5141012741338,83.3167725251216,88.4409675844073,93.5875541705525,97.127083551031,97.3704298621733,97.5930619487137,97.7074301321576
"26","Rabbit_<=1300m",7394.474609375,4924.68212890625,4924.68212890625,3548.49975585938,1364.37841796875,1364.37841796875,1364.37841796875,1364.37841796875,47829.0017314381,15.4602319548614,10.2964351139055,10.2964351139055,7.41913823705616,2.85261738396673,2.85261738396673,2.85261738396673,2.85261738396673
"27","Spatsizi_<=1300m",3130.25415039062,3130.25415039062,3130.25415039062,3130.25415039062,3130.25415039062,3130.25415039062,3130.25415039062,3130.25415039062,15326.3156405422,20.4240485698354,20.4240485698354,20.4240485698354,20.4240485698354,20.4240485698354,20.4240485698354,20.4240485698354,20.4240485698354
"28","Thutade_<=1300m",58775.1796875,57832.44921875,56329.828125,56175.4375,54405.79296875,56886.94140625,58348.65625,59245.9140625,170075.548731214,34.5582772632343,34.0039762624244,33.1204741335412,33.0296964608236,31.9891914943826,33.4480422557117,34.3074925733233,34.8350568347316
"29","Pink_Mountain_<=1300m",0,0,0,0,0,0,0,0,295.349559975924,0,0,0,0,0,0,0,0
